task,occupation,company_count,company
Complete customs paperwork.,Freight Forwarders,86,"Extend; Parsewise; Skyvern; Abbot; Rider; Leeroo; Aden; Dialect; Friday; Motion; Paradigm; Tiny; Handl; Tenderd; Semantics3; Nowports; Dexter; WareIQ; Mandel AI; SciPhi; Stamp; Dataherald; trebu; Lume; AutoComputer; Sola; truemetrics; Reducto; Vooma; Workflow86; Fluently; Callback; Pinch; Repacket; Narrative; Pernell; Iambiq Technologies; Clara Labs; Powerhouse AI; Airweave; SprintAI; Superagent; Cobbery; Regology; Embark Trucks; Pax; Lighthouz AI; Kobo360; CommodityAI; CopyCat; BeGo; Velos; Mars Auto; MailTime; Cartage; Tasker AI; ShipBlu; TrackChain; Estimote, Inc.; Axiom.ai; Zuni; Taktile; Tetra; Dev Tools AI; Axle; Azalea Robotics Corporation; Autotab; Zimi; SkydropX; Swades AI; Panora; Yondu; FleetWorks; Silurian; HappyRobot; Precip; The Forecasting Company; NanoNets; Linc.; Oway; GrubMarket; Basepilot; Starsky Robotics; Flirtey (SkyDrop); Shipamax; ElectroNeek"
"Complete documentation needed to support testing procedures, including data capture forms, equipment logbooks, or inventory forms.",Quality Control Analysts,71,"Outerport; Extend; AutoComputer; Entvin; PandasAI; AiSupervision; Orbiter; Parsewise; Reducto; LineWise; Zeit AI; Redouble AI; Brewit; Turing College; Taskade; Askdata; Aqua Voice; Stack AI; OmniAI; IoTFlows Inc; Vizy; Callback; Bucket Robotics; Anasen; Tasker AI; Roe AI; CambioML; Medium Biosciences; Anthrogen; MinusX; Paradigm; Overview; Tiny; Pulse; Clara Labs; camelAI; Raven; numericcal, inc.; Peppr AI; Basedash; Airweave; Bindwell; Tile; Chonkie; Dime; Buster; IvyCheck; Julius; GrubMarket; Tergle; Autotab; Cerrion; Asteroid; Simplifine; Vizly; Almond; Carousel Technologies; Redbird; Omni; Mercator; Superagent; Orbillion Bio; Neptyne; Regology; Lamin; FirstIgnite; Onyx; Magic Loops; Palifer; Epsilla; Lume"
"Complete expense reports, sales reports, or other paperwork.","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",259,"Langdock; BIK; Pivot Robotics; LinkGrep; Stacksi; Letter AI; Abbot; Lifecast; Boundo; rift; Mentum; Abalone Bio; crmCopilot; GrepData; Inventive AI; Hickory; Guardian RF; Lovage; Flockjay; AiSDR; Dialect; Pumpkin; Wattson Health; Origami; Layerup; Motion; Truva; CambioML; SilkChart; Floworks; Hatch; Tiny; inBalance; Iris Automation; Giga ML; Ponyrun; Charge Robotics; Tenderd; Meta; Persana AI; Fabius; Conductor Quantum; Arpeggio Bio; Dime; Apollo.io; Radical; Thrive Agritech; Dot; Meticulate; Lysto; Vector; Vaero; Coldreach; Demodesk; Stamp; Spinach AI; Seals AI; Recurrency; Flyflow; DeepSim, Inc.; AutoComputer; Xobni; Mutiny; Netomi; Speedy Labs; Cargo; Scribe; Ultra; Sennu AI; throxy; Nextera Robotics; Dropbox; Fluently; Metalware; Sweetspot; Birch Biosciences; Praxis AI; Cedalio; DryMerge; Slik; Saleswhale; Bucket Robotics; Thorntale; SalesPatriot; Pernell; Unhaze; Warmly,; Anasen; Topo; Overview; Clara Labs; Dexterity; EzDubs; EARTH AI; Odo; Typewise; PromptLoop; Sendbird; Unbabel; 20n; Fathom; Plivo; Flike; Hindsight; Venta AI; Namecard.ai; Spiral Genetics; RADAR; et al.; Jasmine Energy; StackLead; TigerEye; Exa Laboratories; Scale AI; Willow; UserGems; FuseAI; Cobbery; Solidroad; Bluebirds; Lavo Life Sciences; Sentiyen; Optilly/Installmonetizer; Mosaix.ai; Taskade; Tensil; Marblism; Aqua Voice; Candid; Tailor-ED; Deepnight; Govly; MailTime; Relativity Space; Popsy; IoTFlows Inc; Vizy; Piramidal; Maya Labs; Elyos; Ergo; Wolfia; Outlit; Niles; Bicycle AI; Medium Biosciences; Kular; Corvus Robotics; Lumina; People.ai; Axiom.ai; Symphony; Percept.AI; Wingman; Fiber AI; Nara; Martin; Agentin AI; Zuni; Enable Us; Reduced Energy Microsystems; VectorShift; Vendah; Tetra; Cue; Sendblue; Breadcrumbs.io; ShortLoop; JuziBot; Distro; Macromoltek; Ciro; Autotab; Proxis; Paragon AI; Query Vary; Windsor; Raycaster; Omni; Carbic; HyLight; LeadGenius; Marr Labs; Opencall.ai; Gluetrail; Palifer; Rain Neuromorphics; Champ; CoffeeAI; Swades AI; Cedar; Leaping AI; Findly; Inlet; VOIQ; Strong Compute; Verbiflow; SynthioLabs; SalesSift; Powerdocs; OpenFunnel; Mica AI; Penguin AI; Tuesday; Innate; Airmada; Rivia.AI; Nabla Bio; Watto AI; CozmoX AI; Candor; Sapling.ai; FirstQuadrant; Array Labs; Den; Voiceops; Axross Pte Ltd; Onward; Anthrogen; RMFG; Brainbase; TRACTIAN; Paperplane; Pando Bioscience; Roger; Silogy; Raven; Podium; AlphaWatch AI; Sculpt; Casixty; Hyperbound; Criya; Bindwell; HockeyStack; Datrics; Traversal Networks; Basepilot; Echo; Moots AI; Industrial Next; Trellus; Lopus AI; Ligo Biosciences; Yarn; Artisan; Patika; Almond; Cerrion; Dioptra; Letterdrop; Cuckoo Labs; OpenSight; Presto; OpenMeter; Venu AI; Fini; PowerX; Octolane AI"
Complete form letters in response to requests or problems identified by correspondence.,Correspondence Clerks,61,Extend; AutoComputer; Sola; Mosaix.ai; Feather; LinkGrep; CopyCat; Cohere; General Agency; Velos; Automat; Marblism; Aqua Voice; Akiflow; Stack AI; Dropbox; MailTime; Heron Data; Aldara; Sapling.ai; Dialect; Repacket; Elyos; Friday; Tasker AI; Iambiq Technologies; Hatch; CambioML; Clara Labs; Dexterity; Lumina; Axiom.ai; MindFi; Credal.ai; Handl; Whirlscape; Martin; Zuni; VectorShift; Yuma AI; Argovox; Senso; TypeLess; HOAi; Basepilot; Autotab; Proxis; Compose.ai; Zimi; Willow; Vaero; SciPhi; Onyx; Parabolic; Stamp; Sei; Seals AI; ElectroNeek; TamLabs; Luminai; Type
Complete forms in accordance with company procedures.,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",93,"Langdock; Extend; Forage Mail; LinkGrep; Poly; Skyvern; Automat; Lovage; Moonglow; Pumpkin; Wattson Health; Dialect; Friday; Motion; Hatch; CambioML; Paradigm; MindFi; Credal.ai; Handl; Slite; Nowadays; GoLinks; Vaero; SciPhi; Stamp; Spinach AI; Struct; Jestor; AutoComputer; Sola; Xobni; Workflow86; Twine; Dropbox; Fluently; Aldara; Callback; Repacket; Pernell; Anasen; Iambiq Technologies; Clara Labs; Dexterity; Latent Space; K-Scale Labs; Veryfi, Inc.; Compose.ai; Willow; Superagent; Type; Shift Health; CopyCat; Mintplex Labs; Taskade; General Agency; Sidenote; Velos; Aqua Voice; MailTime; Elyos; Tasker AI; Bicycle AI; Lumina; Axiom.ai; Martin; Zuni; VectorShift; Cue; Dev Tools AI; TypeLess; Warpdrive by Synthetic Minds; BrainHi; Autotab; Query Vary; jo; Omni; Opencall.ai; Magic Loops; Akiflow; Stack AI; Heron Data; CozmoX AI; Gumloop; Sapling.ai; PearAI; Den; Onward; Basepilot; Patika; Humand; ElectroNeek; Luminai"
Complete insurance or other claim forms.,Medical Secretaries and Administrative Assistants,123,CoreCare; Langdock; Extend; Forage Mail; LinkGrep; Cero; Poly; Skyvern; Automat; Remy; WorkDone; Toothy AI; Ply Health; Lovage; Moonglow; Ember; Pumpkin; Wattson Health; Dialect; Friday; Motion; Amby Health; CambioML; Hatch; Paradigm; MindFi; Credal.ai; Handl; Curacel; Slite; Argovox; Health Harbor; GoLinks; Egress Health; StarJar; Sample; Kairo Health; Vaero; Paratus Health; SciPhi; Stamp; Struct; Spinach AI; Newton; AutoComputer; Sola; Solum Health; Rada; Workflow86; Certainly Health; mdhub; Twine; Dropbox; Fluently; Callback; Repacket; Pernell; Iambiq Technologies; Cenote; Clara Labs; Dexterity; Latent Space; K-Scale Labs; Compose.ai; Willow; Superagent; CombineHealth; Asha Health; Sohar Health; Type; Shift Health; CopyCat; Mintplex Labs; Taskade; General Agency; Sidenote; Velos; Aqua Voice; Adravision; MailTime; Elyos; Tasker AI; Lumina; Axiom.ai; Zuni; VectorShift; Cue; Latent; Dev Tools AI; TypeLess; Warpdrive by Synthetic Minds; Fuse; BrainHi; Autotab; Query Vary; Opkit; Substrate; jo; Omni; Dodo; Decoda Health; Opencall.ai; Magic Loops; Clarion; Delfino AI; Lamar Health; Parallel; Akiflow; Stack AI; Chorrie; Tennr; Sapling.ai; PearAI; Harbera; Den; Hey Revia; Codes Health; Basepilot; Sully.ai; Humand; Guardian AI; ElectroNeek; Luminai
"Complete loan applications, including credit analyses and summaries of loan requests, and submit to loan committees for approval.",Credit Analysts,124,Salient; Extend; Orbiter; Parsewise; Docsum; Zeit AI; Tesorio; Rabbet; Spine AI; Melder; Trellis; Moonglow; Trueplace; Hudson Labs (formerly Bedrock AI); CambioML; Paradigm; Finnt; Pulse; Credal.ai; BotCity; Trébol; Handl; Spade; kater.ai; Domu Technology Inc.; Buster; Dot; Centauri AI; SciPhi; Inscribe; Dataherald; Epsilla; Overwatch; Xobni; Eloquent AI; Reducto; Redouble AI; MarketBrief; Kastle; amiloz; dili; Truora; Bankjoy; Callback; VantedgeAI; Anasen; Iambiq Technologies; Slidely AI; Glimmer; Clara Labs; Plutto; Greenlite; Tejas AI; Peppr AI; finbar; Tile; Casca; Decisional AI; TigerEye; Asteroid; Willow; Zen99; Superagent; Neptyne; FirstIgnite; Onyx; Klarity; Fintelite; Clarum; Feather; PandasAI; Brewit; General Agency; Askdata; Velos; Leena AI; CreatorOS; Prodigal; Patterns; Shiboleth; Tasker AI; Retape; Finosu; camelAI; Dojah Inc; Orbio Earth; Autotab; Vizly; Redbird; Blue Onion; Accend; Elevate; Outerport; Mesh; Findly; Shape; Tranqui Finanzas; HUD; Flair Labs; Stack AI; Heron Data; The Forecasting Company; AviaryAI; NanoNets; Paperplane; Concourse; Brex; Respaid; Valora; AlphaWatch AI; Basedash; Datrics; Basepilot; Baubap; Defog.ai; Parsagon; Carousel Technologies; Fintool; Rollstack; Menza; Two Dots; ElectroNeek; Inkling; Luminai
"Complete production reports, purchase orders, and material, tool, and equipment lists.",Industrial Engineers,59,"Pyka; Pivot Robotics; AiSupervision; Yondu; LineWise; Turing Labs Inc.; Optifye.ai; General Trajectory; Ultra; Tailor-ED; Nextera Robotics; Relativity Space; IoTFlows Inc; Birch Biosciences; Praxis AI; SmartHelio; Bilanc; Bucket Robotics; Elyos; Narrative; Motion; Elessar; Axross Pte Ltd; Corvus Robotics; Overview; Anthrogen; AutoPallet Robotics; RMFG; Clara Labs; Tiny; TRACTIAN; Atomic Industries; numericcal, inc.; Raven; Tenderd; Charge Robotics; Yummy Future; AlphaWatch AI; Poka Labs; Sculpt; Powerhouse AI; Taktile; Inevitable Tech; et al.; Hedgehog; Industrial Next; Azalea Robotics Corporation; Patchwork; Cerrion; Presto; Open Motors; Almond; Carbic; Happenstance; Pathmind; PowerX; Revise Robotics; Palifer; Maive"
"Complete repair bills, shop records, time cards, or expense reports.","Computer, Automated Teller, and Office Machine Repairers",4,Lynx; Presto; Wild Moose; Palifer
Complete sales order tickets and submit for processing of client-requested transactions.,"Securities, Commodities, and Financial Services Sales Agents",161,Langdock; Zeit AI; Letter AI; Abbot; Turing College; Boundo; rift; Veriff; Dartboard Energy; crmCopilot; Inventive AI; Hickory; Flockjay; Algoriz; Pumpkin; Hudson Labs (formerly Bedrock AI); Metal; Friday; Layerup; Truva; CambioML; SilkChart; Floworks; Hatch; inBalance; Ponyrun; Meta; Spade; Winford Wealth; Dot; Weltio; Lysto; Benchmark; Vaero; Centauri AI; Demodesk; Stamp; TokenOwl; Spinach AI; Next Caller; AutoComputer; Xobni; Eloquent AI; Authologic; MarketBrief; Cargo; throxy; Dropbox; Fluently; DryMerge; VantedgeAI; Thorntale; Pernell; Anasen; Topo; Glimmer; Clara Labs; Dexterity; Plutto; Typewise; Coinrule; Fathom; finbar; et al.; Decisional AI; Pit.AI; Jasmine Energy; TigerEye; Asteroid; Willow; FuseAI; Aidy; Superagent; Regology; Neptyne; FirstIgnite; Dataglade; GovernGPT; CommodityAI; Brewit; Taskade; General Agency; Askdata; Marblism; Aqua Voice; Candid; Tailor-ED; FrontPage; Patterns; MailTime; Phind; Vizy; Ergo; Wolfia; Kular; Wingman; camelAI; Zuni; Demeter; Enable Us; VectorShift; Taktile; Tetra; Cue; Sendblue; Orbio Earth; Autotab; Proxis; Paragon AI; Vizly; Fira; Arthena; Redbird; Blue Onion; Gaiascope; Bayesline; Elevate; Artificial Societies; CoffeeAI; Findly; Shape; VOIQ; Powder; Insight Data Science; Verbiflow; SalesSift; Powerdocs; TradeFlow; Saturn; Tuesday; Quill AI; Sapling.ai; FirstQuadrant; PearAI; Den; Voiceops; The Forecasting Company; Onward; Brainbase; AviaryAI; Roger; Valora; AlphaWatch AI; Hyperbound; Basedash; Datrics; Basepilot; Echo; Moots AI; Trellus; Letterdrop; expand.ai; Parsagon; Carousel Technologies; Cuckoo Labs; Fintool; Venu AI; Menza; Octolane AI; Luminai; goodfin
Complete time sheets showing employees' arrival and departure times.,Payroll and Timekeeping Clerks,86,"CoreCare; Langdock; Razorpay; Extend; Lifted; Parsewise; Zeit AI; Automat; Hatch; CambioML; Paradigm; MindFi; Credal.ai; Handl; GoLinks; Alaan; SciPhi; Stamp; Jestor; Lume; AutoComputer; Sola; Reducto; Workflow86; Fluently; Clearest Health; Aldara; Repacket; Anasen; Iambiq Technologies; Clara Labs; Glimmer; Dexterity; Deel; FirstWork; Tile; Veryfi, Inc.; Willow; Zen99; CombineHealth; FirstIgnite; Onyx; Klarity; CommodityAI; Shift Health; CopyCat; DianaHR; General Agency; Askdata; Velos; Aqua Voice; Leena AI; MailTime; Elyos; Truewind; Tasker AI; Lumina; Axiom.ai; camelAI; Martin; Dev Tools AI; Autotab; Bolto; Blue Onion; Magic Loops; HOAi; Shape; Soraban; HUD; Stack AI; Heron Data; Gumloop; Finlens; Pasito; Mindee; Rocketable; Concourse; Brex; Basepilot; Manaflow; Merlin AI; Defog.ai; Humand; Bemlo; ElectroNeek; Luminai"
"Complete various forms, such as accident reports, trial and courtroom requests, and applications for clients.",Legal Secretaries and Administrative Assistants,140,"Langdock; Extend; Archbee; Forage Mail; LinkGrep; Parsewise; Docsum; Dench.com; Skyvern; Poly; Automat; Lovage; Abel; Melder; Dialect; Pumpkin; Wattson Health; Ironclad; Friday; Motion; Hatch; CambioML; Paradigm; Credal.ai; Handl; Giga ML; Ardis AI; Slite; GoLinks; Caseflood.ai; Casetext; Focus Buddy; Alaan; Lysto; Vaero; SciPhi; Stamp; Struct; Spinach AI; Jestor; TamLabs; AutoComputer; Sola; Xobni; Reducto; Workflow86; Kyber; Sennu AI; AXDRAFT; Dropbox; Fluently; Callback; DryMerge; Repacket; Thorntale; Pernell; Iambiq Technologies; Slidely AI; Glimmer; Clara Labs; Dexterity; Typewise; Fathom; InQuery; BoldVoice; Pincites; Veryfi, Inc.; Asteroid; Compose.ai; Willow; Superagent; Cobbery; Regology; Khoj; Onyx; Type; Mosaix.ai; CopyCat; Mintplex Labs; Taskade; General Agency; Sidenote; Velos; Marblism; Aqua Voice; MailTime; Vizy; Niles; Tasker AI; Bicycle AI; Lumina; Axiom.ai; Edge; DailyBot; Martin; Zuni; RiskAngle; VectorShift; Tetra; Dev Tools AI; Cue; PointOne; TypeLess; &AI; Autotab; Proxis; Query Vary; Lexter.ai; Omni; Marr Labs; Opencall.ai; Magic Loops; Sei; Gale; Outerport; Legora (formerly Leya); Powerdocs; Akiflow; Stream; Stack AI; Echo Locker; Heron Data; Watto AI; Tower; Sapling.ai; PearAI; Pasito; Den; Onward; NanoNets; DraftWise; Basepilot; Moots AI; ROSS Intelligence; Dioptra; Parsagon; Humand; Trébol; ElectroNeek; Luminai"
"Complete work schedules, manage calendars, and arrange appointments.","Office Clerks, General",122,"Greenboard; Langdock; CoreCare; Extend; Forage Mail; LinkGrep; Parsewise; Zeit AI; Skyvern; Automat; Toothy AI; Ply Health; Lovage; Dialect; Wattson Health; Friday; Truva; CambioML; Paradigm; Credal.ai; Handl; Giga ML; Slite; Argovox; Senso; GoLinks; StarJar; Sample; Focus Buddy; Alaan; Helpcare AI; Vaero; SciPhi; Stamp; Spinach AI; Jestor; trebu; TamLabs; AutoComputer; Sola; Solum Health; Cohere; Xobni; Arini; Scout; Dropbox; Sweetspot; Aldara; Callback; Repacket; Iambiq Technologies; Cenote; Slidely AI; Clara Labs; Dexterity; Typewise; Peppr AI; Airweave; Jasmine Energy; Veryfi, Inc.; Compose.ai; Willow; Dataland; Superagent; Cobbery; Onyx; Strada; Klarity; Type; Shift Health; Feather; CopyCat; Taskade; General Agency; Sidenote; Velos; Marblism; Aqua Voice; MailTime; Vizy; Elyos; Niles; Tasker AI; LedgerUp; Axiom.ai; Retape; Finosu; Martin; Zuni; VectorShift; Tetra; Dev Tools AI; Cue; Warpdrive by Synthetic Minds; Autotab; Opkit; Substrate; jo; Omni; Decoda Health; Opencall.ai; Sei; HOAi; Powerdocs; Soraban; Fragment; Lamar Health; Parallel; Akiflow; Stack AI; Heron Data; Gumloop; Sapling.ai; Finlens; Den; NanoNets; Minded; Hey Revia; Basepilot; Fini; ElectroNeek; Luminai"
"Complete, verify, and process forms and documentation for administration of benefits, such as pension plans, and unemployment and medical insurance.",Payroll and Timekeeping Clerks,86,"CoreCare; Langdock; Razorpay; Extend; Lifted; Parsewise; Zeit AI; Automat; Hatch; CambioML; Paradigm; MindFi; Credal.ai; Handl; GoLinks; Alaan; SciPhi; Stamp; Jestor; Lume; AutoComputer; Sola; Reducto; Workflow86; Fluently; Clearest Health; Aldara; Repacket; Anasen; Iambiq Technologies; Clara Labs; Glimmer; Dexterity; Deel; FirstWork; Tile; Veryfi, Inc.; Willow; Zen99; CombineHealth; FirstIgnite; Onyx; Klarity; CommodityAI; Shift Health; CopyCat; DianaHR; General Agency; Askdata; Velos; Aqua Voice; Leena AI; MailTime; Elyos; Truewind; Tasker AI; Lumina; Axiom.ai; camelAI; Martin; Dev Tools AI; Autotab; Bolto; Blue Onion; Magic Loops; HOAi; Shape; Soraban; HUD; Stack AI; Heron Data; Gumloop; Finlens; Pasito; Mindee; Rocketable; Concourse; Brex; Basepilot; Manaflow; Merlin AI; Defog.ai; Humand; Bemlo; ElectroNeek; Luminai"
Compose and edit scripts or provide screenwriters with story outlines from which scripts can be written.,Producers and Directors,70,Mosaix.ai; Diffusion Studio; PlayHT; LinkGrep; Playground; Chute; Jasper.ai; Xobni; Mintplex Labs; Poly; Moonvalley; Linum; Lifecast; D-ID; Uberduck; Aqua Voice; Remy; Dream3D; Speechly; Dropbox; MailTime; Phind; Vizy; Moonglow; PearAI; Eggnog; sync.; Niles; Friday; Pernell; Magic Hour; Tasker AI; T3 Chat (prev. Ping.gg); edgetrace; CambioML; Heroic Story; Dexterity; ego; AIVideo.com; Remade; Cue; Andi; Overlap; Opine; Wondercraft; et al.; Focus Buddy; Codec; Pulpix; Windsor; Lemon Slice; Tavus; Focal; Compose.ai; Willow; Happenstance; Sieve; Storyboarder; Affogato AI; Omni; CreatorML; Vaero; Aesthetic; Dubjoy; SciPhi; Decohere; Stamp; Pocket Worlds; UNISON; Type
"Compose business correspondence for supervisors, managers, and professionals.",Insurance Claims and Policy Processing Clerks,105,"CoreCare; Langdock; Parsewise; Docsum; Skyvern; Verak; Automat; Remy; Toothy AI; Leeroo; Dialect; Ember; Wattson Health; Friday; Amby Health; CambioML; Handl; Health Harbor; GoLinks; Egress Health; StarJar; TrueClaim; Sample; Focus Buddy; Slingshot; SciPhi; Stamp; Jestor; AutoComputer; Cohere; Eloquent AI; Rada; Reducto; Redouble AI; Kyber; Sweetspot; Aldara; Callback; Repacket; Narrative; WeatherCheck; Iambiq Technologies; Cenote; Clara Labs; Glimmer; Dexterity; VoxOps AI; Peppr AI; Airweave; Talc; Jasmine Energy; Veryfi, Inc.; Willow; Superagent; Cobbery; CombineHealth; Strada; Klarity; Shift Health; CopyCat; General Agency; Velos; Aqua Voice; MailTime; FurtherAI; Vizy; Jerry; Elyos; Tasker AI; Upfort; Summed AI; Axiom.ai; Symphony; Retape; Zuni; VectorShift; Tetra; Latent; Dev Tools AI; Fuse; Axle; Substrate; jo; Sei; Outerport; Delfino AI; Fragment; Lamar Health; Parallel; Elayne; Stream; Stack AI; Chorrie; Gumloop; Sapling.ai; Pyq AI; NanoNets; Hey Revia; Codes Health; Basepilot; Tergle; Two Dots; ElectroNeek; Fairway Health; Luminai"
"Compose descriptions of merchandise for posting to online storefront, auction sites, or other shopping Web sites.",Online Merchants,210,"Razorpay; Langdock; AI Sell; Misprint; Forage Mail; LinkGrep; Cherry Recommends; Retrofit; Orbiter; Poly; Jasper.ai; Skyvern; Dimely; Abbot; Automat; Veriff; Rider; Makeasite; Lovage; Sendme, Inc; Moonglow; Wattson Health; Quickchat AI; Origami; Friday; Metreecs; Fazeshift; MarqVision; Motion; AIVideo.com; Credal.ai; Handl; Semantics3; Warpfy; Apten; SureBright; Faire; Dot; Operand; WareIQ; Lysto; Smyte; Directed Edge; Vaero; Blink; Stamp; Recurrency; Jestor; Revise Robotics; Unusual; Voosh; Promi; AutoComputer; Xobni; FlyCode; Authologic; Netomi; Ovlo; Workflow86; Twine; Sift; autone; Liftigniter; Callback; DryMerge; Allure Systems; Pernell; Warmly,; Lizza; Clara Labs; Anglera; Dexterity; Corgi Labs; Unbabel; Sendbird; Smobi; Plivo; Freshplum; Flike; Airweave; ClipDrop; Zapi; Kontigo; SubscriptionFlow; Veryfi, Inc.; SprintAI; Compose.ai; Willow; Vimmerse; Zen99; Cobbery; Marketfox; Sentiyen; Type; Dabble; CopyCat; Taskade; BlueHill Payments; General Agency; Askdata; Velos; Marblism; Maitian.ai; Aqua Voice; Mindori; Robby Technologies; Afternoon.co; MailTime; Popsy; Monterey AI; ShopMyGPT.com; Elyos; Tasker AI; Bicycle AI; LedgerUp; Kular; ShipBlu; Lumina; Axiom.ai; Hypotenuse AI; Suggestr; Berbix; Percept.AI; Nara; CyberFend; Martin; Zuni; VectorShift; Vendah; Revamp; Dev Tools AI; Sendblue; TypeLess; Open; ShortLoop; Typedream; Tetra; Versable; PayCrunch; Autotab; Proxis; Canopy Labs; Query Vary; Farmstead; Rubber Ducky Labs; Zimi; Marr Labs; Spherecast; Opencall.ai; Magic Loops; NeoWize; Intelligent; SkydropX; emojis.com; Chatfuel; Shaped; Cedar; Inlet; VOIQ; Panora; Roundtable; Vendora; Akiflow; Branch AI; Castle; Echo Locker; Stack AI; Anakin; Heron Data; Glisten AI; Promoted.ai; Sapling.ai; Finlens; PearAI; Artemis Search; Simple AI; Protegee; Compra Rápida; Photoroom; FileStack; Brainbase; NanoNets; Framed Data; Rocketable; Atlas; BusinessOnBot; Respaid; Roger; Podium; Delegasi; Yuma AI; Kashin; GrubMarket; Basepilot; Brevy; Slicker; Letterdrop; Hello Chair; Patika; Flirtey (SkyDrop); Carousel Technologies; Affogato AI; OpenSight; Aesthetic; Fini; Browser Use; JustPaid.ai; Bizzy; Octolane AI; Luminai"
"Compose letters in reply to correspondence concerning such items as requests for merchandise, damage claims, credit information requests, delinquent accounts, incorrect billing, or unsatisfactory service.",Correspondence Clerks,60,Extend; AutoComputer; Sola; Mosaix.ai; Feather; LinkGrep; CopyCat; Cohere; General Agency; Velos; Automat; Marblism; Aqua Voice; Kyber; Akiflow; Stack AI; Dropbox; MailTime; Heron Data; Aldara; Sapling.ai; Dialect; Repacket; Elyos; Friday; Tasker AI; Iambiq Technologies; Hatch; CambioML; Clara Labs; Dexterity; Lumina; Axiom.ai; MindFi; Credal.ai; Handl; Whirlscape; Martin; Zuni; VectorShift; Yuma AI; Senso; TypeLess; Basepilot; Autotab; Proxis; Compose.ai; Zimi; Willow; Vaero; SciPhi; Onyx; Parabolic; Stamp; Sei; HOAi; ElectroNeek; TamLabs; Luminai; Type
"Compose, type, and distribute meeting notes, routine correspondence, or reports, such as presentations or expense, statistical, or monthly reports.","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",98,"Langdock; Extend; Forage Mail; LinkGrep; Poly; Zeit AI; Skyvern; Automat; Lovage; Moonglow; Pumpkin; Wattson Health; Dialect; Friday; Motion; Hatch; CambioML; Paradigm; MindFi; Credal.ai; Slite; Nowadays; GoLinks; Alaan; Vaero; SciPhi; Stamp; Spinach AI; Struct; Jestor; TamLabs; AutoComputer; Sola; Xobni; Workflow86; Twine; Dropbox; Fluently; Aldara; Callback; Repacket; Thorntale; Pernell; Anasen; Iambiq Technologies; Slidely AI; Clara Labs; Dexterity; Latent Space; K-Scale Labs; Veryfi, Inc.; Compose.ai; Willow; Superagent; Type; Shift Health; CopyCat; Mintplex Labs; Taskade; General Agency; Sidenote; Velos; Aqua Voice; MailTime; Elyos; Tasker AI; Bicycle AI; Lumina; Axiom.ai; Martin; Zuni; VectorShift; Cue; Dev Tools AI; TypeLess; Warpdrive by Synthetic Minds; BrainHi; Autotab; Query Vary; jo; Omni; Opencall.ai; Magic Loops; Akiflow; Stack AI; Heron Data; CozmoX AI; Gumloop; Sapling.ai; Finlens; PearAI; Den; Onward; Basepilot; Patika; Humand; ElectroNeek; Luminai"
"Compress, digitize, duplicate, and store audio and video data.",Audio and Video Technicians,34,Diffusion Studio; PlayHT; Chute; Poly; Moonvalley; Linum; D-ID; Akiflow; Speechly; Traces; Vizy; Repacket; Elyos; Kite; Magic Hour; LazyEditor; edgetrace; Clara Labs; AIVideo.com; EzDubs; Mosaic; Remade; Voicery; Dev Tools AI; Overlap; CloudGlue; Codec; Pulpix; Kino AI; Tavus; Focal; Viva Labs; Sieve; Dubjoy
"Compute and analyze data, using statistical formulas and computers or calculators.",Statistical Assistants,73,Mito; Bayes Impact; PandasAI; CopyCat; Findly; Shape; Parsewise; Brewit; Mintplex Labs; Zeit AI; Turing College; Insight Data Science; Askdata; Cotera; Scout; OmniAI; Patterns; Leeroo; Melder; Phind; Gumloop; Trellis; Tydo; Yhat; Repacket; Soteris; Narrative; Roe AI; The Forecasting Company; CambioML; Hatch; Paradigm; SigOpt; Clara Labs; Framed Data; Credal.ai; Tuva Health; Plexe; camelAI; Aftercare; Peppr AI; AlphaWatch AI; Basedash; Datrics; Freshplum; Tile; Talc; et al.; Buster; Pretzel AI; Nectar; IvyCheck; Manaflow; Julius; Focus Buddy; IOMETE; Sarus; expand.ai; Vizly; Dot; Fira; Defog.ai; Parsagon; Carousel Technologies; Redbird; Aidy; Superagent; Warpdrive by Synthetic Minds; Lamin; FirstIgnite; Menza; Inkling; Epsilla
"Compute and authorize amounts of assistance for programs, such as grants, monetary payments, and food stamps.","Eligibility Interviewers, Government Programs",37,AutoComputer; Sola; Mosaix.ai; LinkGrep; CopyCat; Parsewise; Reducto; Velos; Automat; Medicare Vox (fka Fair Square); Aqua Voice; Akiflow; Stack AI; Dropbox; Repacket; Elyos; Friday; Tasker AI; Iambiq Technologies; Hatch; CambioML; Clara Labs; Summed AI; Dexterity; Lumina; MindFi; Credal.ai; Axiom.ai; Latent Space; Martin; Fathom; Tetra; Basepilot; Willow; Struct; ElectroNeek; TamLabs
